file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_0933-761X_2022-01-11.txt	Empirical Approaches to Language Typology [EALT]	EALT-B	yes	no	no		68
degruyter_global_0933-7636_2022-01-11.txt	Mouton Grammar Library [MGL]	MGL-B	yes	no	no		67
degruyter_global_0934-2575_2022-01-11.txt	Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft	BZAW-B	yes	no	no		511
degruyter_global_0934-5531_2022-01-11.txt	Frühe Neuzeit : Studien und Dokumente zur deutschen Literatur und Kultur im europäischen Kontext	FN-B	yes	no	no		231
degruyter_global_0934-6252_2022-01-11.txt	Theatron : Studien zur Geschichte und Theorie der dramatischen Künste	THEATRON-B	yes	no	no		56
degruyter_global_0936-8965_2022-01-11.txt	Reihe der Villa Vigoni : Deutsch-italienische Studien	VILLA-B	yes	no	no		25
degruyter_global_0938-3387_2022-01-11.txt	Patronymica Romanica : Actes - Monographies - Sources onomastiques	PATROM-B	yes	no	no		23
degruyter_global_0938-6572_2022-01-11.txt	De Gruyter Expositions in Mathematics	GEM-B	yes	no	no		76
degruyter_global_0938-9652_2022-01-11.txt	Studia Augustana : Augsburger Forschungen zur europäischen Kulturgeschichte	STUDAUG-B	yes	no	no		15
degruyter_global_0938-9660_2022-01-11.txt	Fortuna Vitrea : Arbeiten zur literarischen Tradition zwischen dem 13. und 16. Jahrhundert	FORTUNA-B	yes	no	no		14
degruyter_global_0939-1940_2022-01-11.txt	Islamkundliche Untersuchungen	IU-B	yes	no	no		227
degruyter_global_0939-1959_2022-01-11.txt	Handbuch der Internationalen Dokumentation und Information	HIDI-B	yes	no	no		2
degruyter_global_0939-2580_2022-01-11.txt	Religionsgeschichtliche Versuche und Vorarbeiten	RGVV-B	yes	no	no		99
degruyter_global_0939-5016_2022-01-11.txt	Phonai. Beihefte	PHONAIB-B	yes	no	no		1
degruyter_global_0939-5024_2022-01-11.txt	Phonai : Texte und Untersuchungen zum gesprochenen Deutsch	PHONAI-B	yes	no	no		37
degruyter_global_0939-5946_2022-01-11.txt	editio / Beihefte	EDI BEIH-B	yes	no	no		50
degruyter_global_0939-6462_2022-01-11.txt	Rhetorik-Forschungen	RHET-B	yes	no	no		23
degruyter_global_0940-5992_2022-01-11.txt	Beiträge zur Dialogforschung	BDF-B	yes	no	no		34
degruyter_global_0940-6549_2022-01-11.txt	Bibliographien zur deutsch-jüdischen Geschichte	BDJG-B	yes	no	no		3
degruyter_global_0941-1704_2022-01-11.txt	Communicatio : Kultur – Text – Medium	COM-B	yes	no	no		52
degruyter_global_0941-5866_2022-01-11.txt	Conditio Judaica : Studien und Quellen zur deutsch-jüdischen Literatur- und Kulturgeschichte	CONJUD-B	yes	no	no		92
degruyter_global_0941-6242_2022-01-11.txt	Prinz-Albert-Studien	PAS-B	yes	no	no		20
degruyter_global_0941-6544_2022-01-11.txt	Beiträge zur Bibliothekstheorie und Bibliotheksgeschichte	BBB-B	yes	no	no		1
degruyter_global_0941-813X_2022-01-11.txt	De Gruyter Series in Nonlinear Analysis and Applications	GSNAA-B	yes	no	no		39
degruyter_global_0941-8946_2022-01-11.txt	UBCIM Publication Series	UBCIMS-B	yes	no	no		1
degruyter_global_0941-9322_2022-01-11.txt	Rara ex Bibliothecis Silesiis : Neudrucke von Werken deutscher Literatur des 16. und 17. Jahrhunderts	RARA-B	yes	no	no		5
degruyter_global_0942-0363_2022-01-11.txt	Ohio State University Mathematical Research Institute Publications	OSU MRIP-B	yes	no	no		11
degruyter_global_0942-4059_2022-01-11.txt	Quellen und Forschungen zur Geschichte des Dominikanerordens – Neue Folge	QFGD-B	yes	no	no		22
degruyter_global_0943-5921_2022-01-11.txt	Philosophie der Antike : Veröffentlichungen der Karl- und Gertrud-Abel-Stiftung	PHDA-B	yes	no	no		8
degruyter_global_0946-9044_2022-01-11.txt	Colloquia Augustana	CA-B	yes	no	no		33
degruyter_global_0946-9419_2022-01-11.txt	Quellen und Forschungen zur Literatur- und Kulturgeschichte	QF-B	yes	no	no		97
degruyter_global_0947-1960_2022-01-11.txt	Forum Migration	FOMI-B	yes	no	no		5
degruyter_global_0948-1354_2022-01-11.txt	Sprache im Kontext / Language in Context : SIK	SIK-B	yes	no	no		1
degruyter_global_0948-6070_2022-01-11.txt	Hallesche Beiträge zur Europäischen Aufklärung : Schriftenreihe des Interdisziplinären Zentrums für die Erforschung der europäischen Aufklärung der Martin-Luther-Universität Halle-Wittenberg	HABEI-B	yes	no	no		64
degruyter_global_1052-0422_2022-01-11.txt	Revealing Antiquity	RAQ-B	yes	no	no		8
degruyter_global_1141-4588_2022-01-11.txt	Histoire des sciences et des techniques / Ecole Pratique des Hautes Etudes, 6.Séction: Sciences Economiques et Sociales	EPHE HST-B	yes	no	no		1
degruyter_global_1381-4524_2022-01-11.txt	Inverse and Ill-Posed Problems Series	IPS-B	yes	no	no		55
degruyter_global_1385-7738_2022-01-11.txt	Modern Probability and Statistics	MPS-B	yes	no	no		10
degruyter_global_1420-4681_2022-01-11.txt	Wolfgang Stammler Gastprofessur für Germanische Philologie : Vorträge	WSG-B	yes	no	no		16
degruyter_global_1422-4445_2022-01-11.txt	Scrinium Friburgense : Veröffentlichungen des Mediävistischen Instituts der Universität Freiburg	SF-B	yes	no	no		37
degruyter_global_1425-1280_2022-01-11.txt	Wznowienia / Poznanskie Towarzystwo Przyjaciól Nauk = Reprints / The Poznan Society for the Advancement of the Arts and Sciences	WPTPN-B	yes	no	no		1
degruyter_global_1432-9220_2022-01-11.txt	Schriften zu Ordnungsfragen der Wirtschaft	SOW-B	yes	no	no		54
degruyter_global_1433-8033_2022-01-11.txt	Marktwirtschaftliche Reformpolitik	MARE-B	yes	no	no		17
degruyter_global_1434-0461_2022-01-11.txt	Grundlagen der Medienkommunikation	GMK-B	yes	no	no		15
degruyter_global_1434-2952_2022-01-11.txt	Kierkegaard Studies. Monograph Series	KSMS-B	yes	no	no		41
degruyter_global_1434-3452_2022-01-11.txt	Topics in English Linguistics [TiEL]	TIEL-B	yes	no	no		109
degruyter_global_1435-098X_2022-01-11.txt	Romania Judaica : Studien zur jüdischen Kultur in den romanischen Ländern	ROMJUD-B	yes	no	no		6
degruyter_global_1437-5370_2022-01-11.txt	Religion and Society	RS-B	yes	no	no		79
degruyter_global_1438-1893_2022-01-11.txt	De Gruyter Series in Logic and Its Applications	GSLA-B	yes	no	no		10
degruyter_global_1438-7689_2022-01-11.txt	KLIO / Beihefte. Neue Folge : Beiträge zur Alten Geschichte	KLIOBH-B	yes	no	no		34
degruyter_global_1439-7889_2022-01-11.txt	Schriften der Internationalen Arnim-Gesellschaft	SIAG-B	yes	no	no		13
