publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	last_changed	access_start_date	access_end_date	medium	monograph_parent_collection_title	subject_area	status	listprice_eur	language	doi_identifier
A Complicated Man		9780300168884							https://www.degruyter.com/openurl?genre=book&isbn=9780300168884	Takiff	9780300168884		fulltext		Yale University Press	monograph	2010	2010						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-06-01	2021-01-01		Book		Political Science, other	current	59,95	eng	10.12987/9780300168884
A Complicated War		9780520342385							https://www.degruyter.com/openurl?genre=book&isbn=9780520342385	Finnegan	9780520342385		fulltext		University of California Press	monograph	1992	1992		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book	Perspectives on Southern Africa	Africa	current	110,95	eng	10.1525/9780520342385
A Concordance of the Qur’an		9780520342613							https://www.degruyter.com/openurl?genre=book&isbn=9780520342613	Kassis	9780520342613		fulltext		University of California Press	monograph	1983	1983		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	163,95	eng	10.1525/9780520342613
A Concordance to the Party of Thomas Traherne		9780520318366							https://www.degruyter.com/openurl?genre=book&isbn=9780520318366		9780520318366		fulltext		University of California Press	monograph	1974	2021		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-02-25		Book		General Interest	current	123,95	eng	10.1525/9780520318366
A Connecticut Yankee in King Arthur's Court		9780520948075							https://www.degruyter.com/openurl?genre=book&isbn=9780520948075		9780520948075		fulltext		University of California Press	monograph	2011	2011			Stein			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book	Mark Twain Library	Anglo-American Literature, general	current	127,95	eng	10.1525/9780520948075
A Cotton Mather Reader		9780300265460							https://www.degruyter.com/openurl?genre=book&isbn=9780300265460	Mather	9780300265460		fulltext		Yale University Press	monograph	2022	2022						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-02-07	2022-08-11		Book		Literary Studies, general	current	156,95	eng	10.12987/9780300265460
A Courtship after Marriage		9780520935839							https://www.degruyter.com/openurl?genre=book&isbn=9780520935839	Hirsch	9780520935839		fulltext		University of California Press	monograph	2003	2003						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Social Anthropology	current	334,95	eng	10.1525/9780520935839
A Critic Writes		9780520923201							https://www.degruyter.com/openurl?genre=book&isbn=9780520923201		9780520923201		fulltext		University of California Press	monograph	1996	1996		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520923201
A Critical Anthology of Spanish Verse		9780520347892							https://www.degruyter.com/openurl?genre=book&isbn=9780520347892		9780520347892		fulltext		University of California Press	monograph	1950	2020		Reprint 2020	Peers			P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	150,95	eng	10.1525/9780520347892
A Critical Cinema 2		9780520912861							https://www.degruyter.com/openurl?genre=book&isbn=9780520912861	MacDonald	9780520912861		fulltext		University of California Press	monograph	1992	1992		Reprint 2019				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520912861
A Critical Cinema 5		9780520939080							https://www.degruyter.com/openurl?genre=book&isbn=9780520939080	MacDonald	9780520939080		fulltext		University of California Press	monograph	2006	2006						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Film	current	334,95	eng	10.1525/9780520939080
A Critical History of Early Rome		9780520940291							https://www.degruyter.com/openurl?genre=book&isbn=9780520940291	Forsythe	9780520940291		fulltext		University of California Press	monograph	2005	2005						P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2023-01-20	2021-01-01		Book		Ancient Science and Medicine	current	334,95	eng	10.1525/9780520940291
A Critical Study of Philip Guston		9780520329010							https://www.degruyter.com/openurl?genre=book&isbn=9780520329010	Ashton	9780520329010		fulltext		University of California Press	monograph	1976	2020		Reprint 2020				P	EBA Package: UC Press + Yale ebooks EBA_UCA_YUP	EBA_UCA_YUP	2022-11-21	2021-01-01		Book		General Interest	current	110,95	eng	10.1525/9780520329010
